letter,startPlacement,endPlacement,timing,direction,blueMotionType,blueRotationDirection,blueStartLocation,blueEndLocation,redMotionType,redRotationDirection,redStartLocation,redEndLocation
D,beta1,gamma4,tog,opp,pro,cw,n,se,pro,ccw,n,sw
D,beta1,gamma6,tog,opp,pro,ccw,n,sw,pro,cw,n,se
D,beta2,gamma2,none,opp,pro,ccw,se,n,pro,cw,se,sw
D,beta2,gamma5,none,opp,pro,cw,se,sw,pro,ccw,se,n
D,beta3,gamma1,none,opp,pro,cw,sw,n,pro,ccw,sw,se
D,beta3,gamma3,none,opp,pro,ccw,sw,se,pro,cw,sw,n
E,beta1,gamma4,tog,opp,anti,ccw,n,se,anti,cw,n,sw
E,beta1,gamma6,tog,opp,anti,cw,n,sw,anti,ccw,n,se
E,beta2,gamma2,none,opp,anti,cw,se,n,anti,ccw,se,sw
E,beta2,gamma5,none,opp,anti,ccw,se,sw,anti,cw,se,n
E,beta3,gamma1,none,opp,anti,ccw,sw,n,anti,cw,sw,se
E,beta3,gamma3,none,opp,anti,cw,sw,se,anti,ccw,sw,n
F,beta1,gamma4,tog,opp,pro,cw,n,se,anti,cw,n,sw
F,beta1,gamma4,tog,opp,anti,ccw,n,se,pro,ccw,n,sw
F,beta1,gamma6,tog,opp,pro,ccw,n,sw,anti,ccw,n,se
F,beta1,gamma6,tog,opp,anti,cw,n,sw,pro,cw,n,se
F,beta2,gamma2,none,opp,pro,ccw,se,n,anti,ccw,se,sw
F,beta2,gamma2,none,opp,anti,cw,se,n,pro,cw,se,sw
F,beta2,gamma5,none,opp,pro,cw,se,sw,anti,cw,se,n
F,beta2,gamma5,none,opp,anti,ccw,se,sw,pro,ccw,se,n
F,beta3,gamma1,none,opp,pro,cw,sw,n,anti,cw,sw,se
F,beta3,gamma1,none,opp,anti,ccw,sw,n,pro,ccw,sw,se
F,beta3,gamma3,none,opp,pro,ccw,sw,se,anti,ccw,sw,n
F,beta3,gamma3,none,opp,anti,cw,sw,se,pro,cw,sw,n
G,beta1,beta2,tog,same,pro,cw,n,se,pro,cw,n,se
G,beta1,beta3,tog,same,pro,ccw,n,sw,pro,ccw,n,sw
G,beta2,beta1,tog,same,pro,ccw,se,n,pro,ccw,se,n
G,beta2,beta3,tog,same,pro,cw,se,sw,pro,cw,se,sw
G,beta3,beta1,tog,same,pro,cw,sw,n,pro,cw,sw,n
G,beta3,beta2,tog,same,pro,ccw,sw,se,pro,ccw,sw,se
H,beta1,beta2,tog,same,anti,ccw,n,se,anti,ccw,n,se
H,beta1,beta3,tog,same,anti,cw,n,sw,anti,cw,n,sw
H,beta2,beta1,tog,same,anti,cw,se,n,anti,cw,se,n
H,beta2,beta3,tog,same,anti,ccw,se,sw,anti,ccw,se,sw
H,beta3,beta1,tog,same,anti,ccw,sw,n,anti,ccw,sw,n
H,beta3,beta2,tog,same,anti,cw,sw,se,anti,cw,sw,se
I,beta1,beta2,tog,same,pro,cw,n,se,anti,ccw,n,se
I,beta1,beta2,tog,same,anti,ccw,n,se,pro,cw,n,se
I,beta1,beta3,tog,same,pro,ccw,n,sw,anti,cw,n,sw
I,beta1,beta3,tog,same,anti,cw,n,sw,pro,ccw,n,sw
I,beta2,beta1,tog,same,pro,ccw,se,n,anti,cw,se,n
I,beta2,beta1,tog,same,anti,cw,se,n,pro,ccw,se,n
I,beta2,beta3,tog,same,pro,cw,se,sw,anti,ccw,se,sw
I,beta2,beta3,tog,same,anti,ccw,se,sw,pro,cw,se,sw
I,beta3,beta1,tog,same,pro,cw,sw,n,anti,ccw,sw,n
I,beta3,beta1,tog,same,anti,ccw,sw,n,pro,cw,sw,n
I,beta3,beta2,tog,same,pro,ccw,sw,se,anti,cw,sw,se
I,beta3,beta2,tog,same,anti,cw,sw,se,pro,ccw,sw,se
J,gamma1,beta3,none,opp,pro,ccw,n,sw,pro,cw,se,sw
J,gamma2,beta2,none,opp,pro,cw,n,se,pro,ccw,sw,se
J,gamma3,beta3,none,opp,pro,cw,se,sw,pro,ccw,n,sw
J,gamma4,beta1,tog,opp,pro,ccw,se,n,pro,cw,sw,n
J,gamma5,beta2,none,opp,pro,ccw,sw,se,pro,cw,n,se
J,gamma6,beta1,tog,opp,pro,cw,sw,n,pro,ccw,se,n
K,gamma1,beta3,none,opp,anti,cw,n,sw,anti,ccw,se,sw
K,gamma2,beta2,none,opp,anti,ccw,n,se,anti,cw,sw,se
K,gamma3,beta3,none,opp,anti,ccw,se,sw,anti,cw,n,sw
K,gamma4,beta1,tog,opp,anti,cw,se,n,anti,ccw,sw,n
K,gamma5,beta2,none,opp,anti,cw,sw,se,anti,ccw,n,se
K,gamma6,beta1,tog,opp,anti,ccw,sw,n,anti,cw,se,n
L,gamma1,beta3,none,opp,pro,ccw,n,sw,anti,ccw,se,sw
L,gamma1,beta3,none,opp,anti,cw,n,sw,pro,cw,se,sw
L,gamma2,beta2,none,opp,pro,cw,n,se,anti,cw,sw,se
L,gamma2,beta2,none,opp,anti,ccw,n,se,pro,ccw,sw,se
L,gamma3,beta3,none,opp,pro,cw,se,sw,anti,cw,n,sw
L,gamma3,beta3,none,opp,anti,ccw,se,sw,pro,ccw,n,sw
L,gamma4,beta1,tog,opp,pro,ccw,se,n,anti,ccw,sw,n
L,gamma4,beta1,tog,opp,anti,cw,se,n,pro,cw,sw,n
L,gamma5,beta2,none,opp,pro,ccw,sw,se,anti,ccw,n,se
L,gamma5,beta2,none,opp,anti,cw,sw,se,pro,cw,n,se
L,gamma6,beta1,tog,opp,pro,cw,sw,n,anti,cw,se,n
L,gamma6,beta1,tog,opp,anti,ccw,sw,n,pro,ccw,se,n
P,gamma1,gamma3,none,opp,pro,cw,n,se,pro,ccw,se,n
P,gamma2,gamma5,none,opp,pro,ccw,n,sw,pro,cw,sw,n
P,gamma3,gamma1,none,opp,pro,ccw,se,n,pro,cw,n,se
P,gamma4,gamma6,tog,opp,pro,cw,se,sw,pro,ccw,sw,se
P,gamma5,gamma2,none,opp,pro,cw,sw,n,pro,ccw,n,sw
P,gamma6,gamma4,tog,opp,pro,ccw,sw,se,pro,cw,se,sw
Q,gamma1,gamma3,none,opp,anti,ccw,n,se,anti,cw,se,n
Q,gamma2,gamma5,none,opp,anti,cw,n,sw,anti,ccw,sw,n
Q,gamma3,gamma1,none,opp,anti,cw,se,n,anti,ccw,n,se
Q,gamma4,gamma6,tog,opp,anti,ccw,se,sw,anti,cw,sw,se
Q,gamma5,gamma2,none,opp,anti,ccw,sw,n,anti,cw,n,sw
